Calendar Name,Public URL,Public Address in iCal Format
RVC Volleyball,https://calendar.google.com/calendar/embed?src=c_40f66f13378e3ec527a356f7c55fdc48a5d4b13d72bd54f04061018229c241b8%40group.calendar.google.com&ctz=America%2FChicago,https://calendar.google.com/calendar/ical/c_40f66f13378e3ec527a356f7c55fdc48a5d4b13d72bd54f04061018229c241b8%40group.calendar.google.com/public/basic.ics
RVC Soccer,https://calendar.google.com/calendar/embed?src=c_a45049bcece6ca8d0da01a1bd306a475c4815c7a4551be1e3533c2f808449f3b%40group.calendar.google.com&ctz=America%2FChicago,https://calendar.google.com/calendar/ical/c_a45049bcece6ca8d0da01a1bd306a475c4815c7a4551be1e3533c2f808449f3b%40group.calendar.google.com/public/basic.ics
RVC Girls Basketball,https://calendar.google.com/calendar/embed?src=c_7a93f9537a04e44d4dd106a4b22f08c1f0ec015b2240838e216a8903d7a0b78a%40group.calendar.google.com&ctz=America%2FChicago,https://calendar.google.com/calendar/ical/c_7a93f9537a04e44d4dd106a4b22f08c1f0ec015b2240838e216a8903d7a0b78a%40group.calendar.google.com/public/basic.ics
RVC Boys Basketball,https://calendar.google.com/calendar/embed?src=c_0b58def8fa91acf30a18eabd124f3c27cab0be766f4756be4a0f9ed41a07d549%40group.calendar.google.com&ctz=America%2FChicago,https://calendar.google.com/calendar/ical/c_0b58def8fa91acf30a18eabd124f3c27cab0be766f4756be4a0f9ed41a07d549%40group.calendar.google.com/public/basic.ics
RVC Baseball,https://calendar.google.com/calendar/embed?src=c_57e8bcfd3bd723041a6fcc3c0c9c1128d9b67863ab117e6e394db3836463049e%40group.calendar.google.com&ctz=America%2FChicago,https://calendar.google.com/calendar/ical/c_57e8bcfd3bd723041a6fcc3c0c9c1128d9b67863ab117e6e394db3836463049e%40group.calendar.google.com/public/basic.ics
RVC Softball,https://calendar.google.com/calendar/embed?src=c_64f1cbcb110b41fe992098cc74107b0921f02e3ac96e2d0fe182cb815250550d%40group.calendar.google.com&ctz=America%2FChicago,https://calendar.google.com/calendar/ical/c_64f1cbcb110b41fe992098cc74107b0921f02e3ac96e2d0fe182cb815250550d%40group.calendar.google.com/public/basic.ics
RVC Track,https://calendar.google.com/calendar/embed?src=c_4e8ce2a59d0cd301e1c420d771f8ca1d35bc7da4e527f1e161dc7de926b49953%40group.calendar.google.com&ctz=America%2FChicago,https://calendar.google.com/calendar/ical/c_4e8ce2a59d0cd301e1c420d771f8ca1d35bc7da4e527f1e161dc7de926b49953%40group.calendar.google.com/public/basic.ics
RVC Scholastic Bowl,https://calendar.google.com/calendar/embed?src=c_2b35311d4677f518b5dd232ac05afd1126d4beef5cda7333ffa52f3929ca73cd%40group.calendar.google.com&ctz=America%2FChicago,https://calendar.google.com/calendar/ical/c_2b35311d4677f518b5dd232ac05afd1126d4beef5cda7333ffa52f3929ca73cd%40group.calendar.google.com/public/basic.ics
