Sport,Date,Away Team,Home Team
Softball,4/29/2027,Momence,St. Anne
Softball,4/29/2027,Donovan,IL Lutheran
Softball,4/29/2027,Grant Park,Beecher
Softball,4/29/2027,Clifton Central,GSW
Softball,5/3/2027,Clifton Central,Momence
Softball,5/3/2027,Grant Park,GSW
Softball,5/3/2027,Donovan,Beecher
Softball,5/3/2027,St. Anne,IL Lutheran
Softball,5/6/2027,Momence,Clifton Central
Softball,5/6/2027,GSW,Grant Park
Softball,5/6/2027,Beecher,Donovan
Softball,5/6/2027,IL Lutheran,St. Anne
Softball,5/11/2027,Beecher,Momence
Softball,5/11/2027,GSW,IL Lutheran
Softball,5/11/2027,Clifton Central,St. Anne
Softball,5/11/2027,Grant Park,Donovan
Softball,5/13/2027,Momence,Beecher
Softball,5/13/2027,IL Lutheran,GSW
Softball,5/13/2027,St. Anne,Clifton Central
Softball,5/13/2027,Donovan,Grant Park
